inspection_id,dba_name,aka_name,license_num,facility_type,risk,address,city,state,zip,inspection_date,inspection_type,results,latitude,longitude
1439657,J.J. PEPPERS FOOD STORE #20,J.J. PEPPERS FOOD STORE #20,1737623,Grocery Store,Risk 3 (Low),750 N RUSH ST ,CHICAGO,IL,60611,20141231,Canvass,Pass,41.89645531,-87.62564517
1515533,SUBWAY,,2289496,Restaurant,Risk 1 (High),1232 S CANAL ST ,CHICAGO,IL,60607,20141231,Canvass Re-Inspection,Pass,41.86632954,-87.63936259
1385853,"SANFORD FOOD,INC","SANFORD FOOD,INC",18936,Grocery Store,Risk 2 (Medium),501 N LARAMIE AVE ,CHICAGO,IL,60644,20141231,Canvass Re-Inspection,Pass,41.88934525,-87.75524956
1515535,FOREMOST LIQUORS,FOREMOST LIQUORS,1214,Liquor,Risk 3 (Low),3301 W NORTH AVE ,CHICAGO,IL,60647,20141231,Canvass,Pass,41.90997097,-87.70949762
1515536,HAROLD'S CHICKEN',HAROLD'S CHICKEN,2373694,Restaurant,Risk 2 (Medium),8653 S STATE ST ,CHICAGO,IL,60619,20141231,License,Pass,41.73652935,-87.62401813
1515539,DONCHEF INC,,2373676,Bakery,Risk 2 (Medium),1408 W DIVERSEY PKWY ,CHICAGO,IL,60614,20141231,License,Pass,41.93258366,-87.66396475
1515537,"MICHOACANA BAKERY, INC",MICHOACANA BAKERY,1572880,Bakery,Risk 1 (High),4407 N KIMBALL AVE ,CHICAGO,IL,60625,20141231,Canvass,Pass,41.96139419,-87.71299632
1385854,IN & OUT FOOD MART,IN & OUT FOOD MART,2231989,Grocery Store,Risk 2 (Medium),401 N LARAMIE AVE ,CHICAGO,IL,60644,20141231,Canvass Re-Inspection,Pass,41.88786906,-87.75519264
1515538,KRISPY'S SEAFOOD & CHICKEN,KRISPY'S SEAFOOD & CHICKEN,2304736,Restaurant,Risk 2 (Medium),8653 S STATE ST ,CHICAGO,IL,60619,20141231,Canvass,Out of Business,41.73652935,-87.62401813
1515541,BILLYS GOAT'S,BILLY GOAT TAVERN & GRILL,50158,Restaurant,Risk 1 (High),1535 W MADISON ST ,CHICAGO,IL,60607,20141231,Canvass Re-Inspection,Fail,41.88135321,-87.66591594
1515542,POPEYES,POPEYES,12199,Restaurant,Risk 1 (High),2800 W DIVERSEY AVE ,CHICAGO,IL,60647,20141231,Complaint,Pass,41.9322054,-87.69767924
1385855,"BEEFEE, INC.",BEEFEE,2289081,Restaurant,Risk 2 (Medium),5433 W CHICAGO AVE ,CHICAGO,IL,60651,20141231,Short Form Complaint,Pass w/ Conditions,41.89476878,-87.76205776
1515543,THE CORNED BEEF FACTORY SANDWHICH SHOP,THE CORNED BEEF FACTORY SANDWHICH SHOP,2369237,Restaurant,Risk 1 (High),1009-1011 W LAKE ST ,CHICAGO,IL,60607,20141231,License,Fail,41.88546689,-87.65254469
1385856,BIG JJ FISH CHICKEN & MORE,BIG JJ FISH CHICKEN & MORE,2241001,Restaurant,Risk 2 (Medium),5053 W DIVISION ST ,CHICAGO,IL,60651,20141231,Canvass,Pass,41.90216833,-87.75302478
1515544,SWEET AND SOUR EXPRESS INC,SWEET AND SOUR EXPRESS INC,1244324,,Risk 3 (Low),3721 W FULLERTON AVE ,CHICAGO,IL,60647,20141231,Canvass,Out of Business,41.92445286,-87.72028255
1515545,ABRAHAM LINCOLN FOOD,ABRAHAM LINCOLN FOOD,1304129,,Risk 3 (Low),3719 W FULLERTON AVE ,CHICAGO,IL,60647,20141231,Canvass,Out of Business,41.9244539,-87.72020397
1418759,TACO BURRITO KING,TACO BURRITO KING,2065146,Restaurant,Risk 1 (High),5501 N HARLEM AVE ,CHICAGO,IL,60656,20141231,Short Form Complaint,Pass,41.98114975,-87.8068093
1515512,PAULINES,PAULINES,2284694,Restaurant,Risk 1 (High),1337 W FULLERTON AVE ,CHICAGO,IL,60614,20141230,Canvass,Fail,41.92512769,-87.66204067
1515504,CVS/ PHARMACY #8732,CVS/ PHARMACY #8732,1695286,Grocery Store,Risk 3 (Low),2053 N MILWAUKEE AVE ,CHICAGO,IL,60647,20141230,Canvass Re-Inspection,Fail,41.91862941,-87.69012302
1387823,JEWEL FOOD STORE #3181,JEWEL FOOD STORE #3181,1368,Grocery Store,Risk 1 (High),87 W 87TH ST ,CHICAGO,IL,60620,20141230,Complaint Re-Inspection,Pass,41.73614513,-87.62691784
1515505,BURGER KING #14476,BURGER KING,2232352,Restaurant,Risk 2 (Medium),6950 S PULASKI RD ,CHICAGO,IL,60629,20141230,Canvass Re-Inspection,Pass,41.76620155,-87.72259366
1515507,REACH FOR THE STARS CHILDCARE ACADEMY INC.,REACH FOR THE STARS CHILDCARE ACADEMY INC.,2216067,Daycare Combo 1586,Risk 1 (High),4246-4252 S DR MARTIN LUTHER KING JR DR ,CHICAGO,IL,60653,20141230,License,Pass w/ Conditions,41.81702384,-87.61695042
1515506,BEAUDEVIN WINE BAR,BEAUDEVIN WINE BAR/T1 C-16,2125731,Restaurant,Risk 3 (Low),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,Canvass,Out of Business,42.0085364,-87.91442844
1387824,"111 TH FOOD & CELLULAR, INC","111 TH FOOD & CELLULAR, INC",2125455,Grocery Store,Risk 2 (Medium),423-425 E 111TH ST ,CHICAGO,IL,60628,20141230,Canvass,Pass w/ Conditions,41.69263856,-87.6123875
1515509,BEAUDEVIN WINE BAR,BEAUDEVIN WINE BAR/T1 C-16,2363769,Restaurant,Risk 3 (Low),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,License,Pass,42.0085364,-87.91442844
1515515,FRONTERA TORTAS BY RICK  BAYLESS,FRONTERA TORTAS BY RICK BAYLESS (T1-B11),2363760,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,License,Pass,42.0085364,-87.91442844
1515516,FRONTERA TORTAS BY RICK  BAYLESS,FRONTERA TORTAS BY RICK BAYLESS (T1-B11),2363761,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,License,Pass,42.0085364,-87.91442844
1515519,ALLENDE RESTAURANT,ALLENDE RESTAURANT,27794,Restaurant,Risk 1 (High),2408 N LINCOLN AVE ,CHICAGO,IL,60614,20141230,Canvass,Pass,41.92560222,-87.64918929
1515518,XOCO,XOCO,2299421,Restaurant,Risk 1 (High),1471 N MILWAUKEE AVE ,CHICAGO,IL,60622,20141230,Complaint,Pass,41.90872609,-87.67466084
1515522,HALSTED FOOD,HALSTED FOOD,2368709,Grocery Store,Risk 3 (Low),7349 S HALSTED ,CHICAGO,IL,60621,20141230,License,Pass,41.76011987,-87.64413723
1515523,NP LOBBY SHOP,NP LOBBY SHOP,2148029,Grocery Store,Risk 3 (Low),111 W MONROE ST ,CHICAGO,IL,60603,20141230,Canvass,Pass,41.88058227,-87.63120101
1515524,SABATINOS INC,SABATINOS,1192,Restaurant,Risk 1 (High),4441-4443 W IRVING PARK RD ,CHICAGO,IL,60641,20141230,Complaint,Pass,41.95340286,-87.73960223
1515525,OUICK STOP,OUICK STOP,47141,,Risk 3 (Low),111 W MONROE ST ,CHICAGO,IL,60603,20141230,Canvass,Out of Business,41.88058227,-87.63120101
1515526,CHICAGO CAFFE,CHICAGO CAFE,2354409,Restaurant,Risk 2 (Medium),2600 W 35TH ST ,CHICAGO,IL,60632,20141230,License Re-Inspection,Pass,41.83029607,-87.69005861
1385851,FOOD 4 LESS,FOOD 4 LESS,1884255,Grocery Store,Risk 1 (High),4821 W NORTH AVE ,CHICAGO,IL,60639,20141230,Short Form Complaint,Pass,41.90950515,-87.74695994
1464679,PASTELITO BAKERY,PASTELITO BAKERY,2373769,Bakery,Risk 2 (Medium),7137 N CLARK ST ,CHICAGO,IL,60626,20141230,License Re-Inspection,Pass,42.01258706,-87.67448205
1515528,FRONTERA TORTAS  BY RICK BAYLESS GATE K4 T3,FRONTERA TORTAS BY RICK BAYLESS (T3 K4),2114331,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,Canvass,Out of Business,42.0085364,-87.91442844
1515529,FRONTERA TORTAS  BY RICK BAYLESS GATE K4 T3,FRONTERA TORTAS BY RICK BAYLESS (T3 K4),2363763,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,License,Pass,42.0085364,-87.91442844
1515530,LASALLE MART INC.,LASALLE MART INC.,1647669,,Risk 3 (Low),19 S LA SALLE ST ,CHICAGO,IL,60603,20141230,Canvass,Out of Business,41.88141901,-87.63220321
1515531,GATEWAY NEWS STAND,GATEWAY NEWS STAND,1245984,,Risk 3 (Low),128 N STATE ST ,CHICAGO,IL,60602,20141230,Canvass,Out of Business,41.88388263,-87.62803907
1467566,SUBWAY,SUBWAY,2269625,Restaurant,Risk 1 (High),1525 W MADISON ST ,CHICAGO,IL,60607,20141230,Canvass,Pass,41.88135674,-87.66549935
1515532,FRONTERA TORTAS  BY RICK BAYLESS GATE K4 T3,FRONTERA TORTAS BY RICK BAYLESS (T3 K4),2363764,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,License,Pass,42.0085364,-87.91442844
1464680,COUSTA COFFEE,COUSTA COFFEE,2355055,Restaurant,Risk 1 (High),4801 N MILWAUKEE AVE ,CHICAGO,IL,60630,20141230,License,Fail,41.96796581,-87.76065246
1418756,ICE BAR,ICE BAR (T3/L2),2137234,Restaurant,Risk 2 (Medium),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,Canvass,Out of Business,42.0085364,-87.91442844
1418757,ICE BAR,ICE BAR,2363771,Restaurant,Risk 2 (Medium),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,License,Pass,42.0085364,-87.91442844
1418758,ICE BAR,ICE BAR,2363772,Restaurant,Risk 3 (Low),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,License,Pass,42.0085364,-87.91442844
1467568,LA CUCHARA,LA CUCHARA,2157659,Restaurant,Risk 1 (High),1521-1523 W MADISON ST ,Chicago,IL,60607,20141230,Canvass,Pass w/ Conditions,41.88135816,-87.66533271
1515510,Congress Pizza,Congress Pizza & Pasta,1980017,Restaurant,Risk 1 (High),2033 N Milwaukee AVE ,CHICAGO,IL,60647,20141230,Short Form Complaint,Pass,41.91826596,-87.68952838
1515511,BEAUDEVIN WINE BAR,BEAUDEVIN WINE BAR/T1 C-16,2363770,Restaurant,Risk 3 (Low),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,License,Pass,42.0085364,-87.91442844
1515513,FRONTERA TORTAS BY RICK  BAYLESS,FRONTERA TORTAS BY RICK BAYLESS (T1-B11),34167,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,20141230,Canvass,Out of Business,42.0085364,-87.91442844
1515514,TACOS DE CANASTA Y ANTOJITOS ORALE INC,TACOS DE CANASTA Y ANTOJITOS ORALE INC,2373513,Restaurant,Risk 1 (High),1621 W 43RD ST ,CHICAGO,IL,60609,20141230,License,Pass,41.81574934,-87.66612593
1385850,EL AZTECA,EL AZTECA,2124800,Restaurant,Risk 1 (High),4154-4158 W ARMITAGE AVE ,CHICAGO,IL,60639,20141230,Complaint,Fail,41.91721711,-87.73122941
1464681,AVENUE TAVERN,AVENUE TAVERN,1242927,Restaurant,Risk 1 (High),2914-2916 N BROADWAY ,CHICAGO,IL,60657,20141230,Canvass,Pass,41.93535812,-87.64438917
1515467,THE BETTY,THE BETTY,2368752,RESTAURANT/BAR,Risk 1 (High),845 W FULTON MARKET ,CHICAGO,IL,60607,20141229,License,Fail,41.88666509,-87.64925513
1515465,FAMILY DOLLAR STORE #7469,FAMILY DOLLAR STORE #7469,1696533,Grocery Store,Risk 3 (Low),3429 W DIVERSEY AVE ,CHICAGO,IL,60647,20141229,Canvass Re-Inspection,Pass,41.93184778,-87.71342663
1515466,WALGREENS #04306,WALGREENS #04306,18723,Grocery Store,Risk 3 (Low),1633 W 95TH ST ,CHICAGO,IL,60643,20141229,Canvass Re-Inspection,Pass,41.72108279,-87.66418596
1515469,7 SEAS FOOD & MEAT MART,7 SEAS FOOD & MEAT MART,2231901,Grocery Store,Risk 1 (High),6501 S COTTAGE GROVE AVE ,CHICAGO,IL,60637,20141229,Canvass Re-Inspection,Pass,41.77668884,-87.60570035
1515470,"RADHE PAN HOUSE INC.,",RADHE PAN HOUSE,2373726,Grocery Store,Risk 3 (Low),2746 W DEVON AVE ,CHICAGO,IL,60659,20141229,License,No Entry,41.99767963,-87.699081
1387818,QODESH EDUCATIONAL INSTITUTE INC.,QODESH EDUCATIONAL INSTITUTE INC.,2215804,Daycare Combo 1586,Risk 1 (High),2534-38 E 83RD ST ,CHICAGO,IL,60617,20141229,License,Pass,41.74462005,-87.5623348
1515471,BILLYS GOAT'S,BILLY GOAT TAVERN & GRILL,50158,Restaurant,Risk 1 (High),1535 W MADISON ST ,CHICAGO,IL,60607,20141229,Canvass,Fail,41.88135321,-87.66591594
1515473,MARIO'S GOLD COAST RISTORANTE,MARIO'S GOLD COAST RISTORANTE,38456,Restaurant,Risk 1 (High),21 W GOETHE ST ,CHICAGO,IL,60610,20141229,Canvass,Pass,41.90569783,-87.62970456
1515472,ECONOMY LIQUOR INC,ECONOMY LIQUOR INC,15174,,Risk 3 (Low),3753 W FULLERTON AVE ,CHICAGO,IL,60647,20141229,Canvass,Out of Business,41.9244368,-87.72158224
1515474,Au Bon Pain,Au Bon Pain,1979989,Restaurant,Risk 1 (High),181 W Madison ST BLDG ,CHICAGO,IL,60602,20141229,Canvass,Pass,41.88184063,-87.63325509
1387819,CHESTERFIELD TOM THUMB DCC-KDG,CHESTERFIELD TOM THUMB DCC-KDG,2262326,Daycare (2 - 6 Years),Risk 1 (High),9210-9214 S COTTAGE GROVE AVE ,CHICAGO,IL,60619,20141229,License Re-Inspection,Pass,41.72716814,-87.60474121
1515477,TACO BELL,TACO BELL,2152257,Restaurant,Risk 1 (High),1646-1648 W 95TH ST ,CHICAGO,IL,60643,20141229,Canvass,Pass w/ Conditions,41.72129868,-87.66447048
1515478,ROSEBUD RESTAURANTS INC,,44336,Catering,Risk 1 (High),1419 W DIVERSEY PKWY ,CHICAGO,IL,60614,20141229,Canvass,Pass,41.93235733,-87.66437496
1515475,LA CARIDAD EN,LA CARIDAD EN,1719098,Liquor,Risk 3 (Low),3575 W FULLERTON AVE ,CHICAGO,IL,60647,20141229,Canvass,Pass,41.92449721,-87.71669383
1515479,CVS/PHARMACY #1054,CVS  PHARMACY,1986275,Grocery Store,Risk 3 (Low),101 N CLINTON ST ,CHICAGO,IL,60661,20141229,Canvass,Pass,41.88324216,-87.64108793
1515493,BRAND JUICE CONSULTING INC,,2124706,Grocery Store,Risk 3 (Low),131 N CLINTON ST ,CHICAGO,IL,60661,20141229,Canvass,Out of Business,41.88418751,-87.64111967
1515480,FRESHA PLACE,,2360019,Restaurant,Risk 1 (High),171 W RANDOLPH ST ,CHICAGO,IL,60601,20141229,License,Pass,41.88436188,-87.63316454
1515481,MOBIL,MOBIL,1517119,Grocery Store,Risk 3 (Low),4638 N DAMEN AVE ,CHICAGO,IL,60625,20141229,Canvass,Pass,41.96624082,-87.67926054
