id,name,address,city,state,end_date
2232455,INTEROKIES AUTO & BODY SHOP INC.,5926 S RACINE AVE 1ST,CHICAGO,IL,
2310333,TOMMY HO JEWELER INC,5 S WABASH AVE  1503,CHICAGO,IL,
2331114,KOSSIWA GBOTE,8000 S ASHLAND AVE,CHICAGO,IL,
2301426,CRYSTAL NAILS INC.,1147 N WELLS ST,CHICAGO,IL,
2368787,ADVANCED CONTRACTOR SOLUTIONS INC.,2150 S CANALPORT AVE 2ND 2A-14,CHICAGO,IL,
2329239,PARKER SALES CO INC,10038 S EWING AVE  1ST,CHICAGO,IL,
2336785,TROPICAL OPTICAL COMPANY,9137 S COMMERCIAL AVE,CHICAGO,IL,
2351841,BLAIRS LAUNDROMAT,7320 S VINCENNES AVE,CHICAGO,IL,
2317697,JESSICA L. BRUNNER,843 W MONROE ST  1B,CHICAGO,IL,
2310657,Hilton Illinois Corp.,17 E MONROE ST,CHICAGO,IL,
2316527,MIDWAY AUTO REPAIR,5438 S CENTRAL AVE # 1ST,CHICAGO,IL,
2333402,Robert C Grosse,222 W MERCHANDISE MART PLZ 13 13-616,CHICAGO,IL,
2289917,AMBER PRO COMPANY,4122 N NASHVILLE AVE 1,CHICAGO,IL,
2203443,LUIS MIGUEL CASTANEDA,3939 N BROADWAY,CHICAGO,IL,
2297197,JESUS ARELLANO,4100 S ASHLAND AVE 1ST 212,CHICAGO,IL,
2335068,PLAZA FOOD & LIQUOR INC,3459 W OGDEN AVE  1,CHICAGO,IL,20130216
2322536,HECTOR HUGO GUTIERREZ,4008 N RAVENSWOOD AVE 1ST,CHICAGO,IL,
2251399,CIGS AT PITTS INC.,55 E WASHINGTON ST 2ND 224,CHICAGO,IL,
2296725,JOE'S PANTRY AND DINER INC,1156 1/2 W 51ST ST,CHICAGO,IL,
2235935,KAVE INC,1009  PORTER,LEMONT,IL,
2328901,LA FERIA GROCERY,9704 S COMMERCIAL AVE  1ST,CHICAGO,IL,
2138161,HORSE THIEF HOLLOW INC.,10426 S WESTERN AVE 1ST,CHICAGO,IL,20130108
2357793,EDGAR J. ASTUDILLO,1649 1/2 W CHICAGO AVE 1,CHICAGO,IL,
2326097,J-JIREH UNLIMITED,10034 S WESTERN AVE 1ST,CHICAGO,IL,
2339468,AB FOOD AND LIQUOR INC,7908-7910 S EXCHANGE AVE 1ST,CHICAGO,IL,20130217
2307350,Cavalry Post LLC,100 W KINZIE ST 3,CHICAGO,IL,
2295528,LAST CALL LOUNGE INC,6316-6318 W 65TH ST 1ST,CHICAGO,IL,
2238490,DALCHI GROUP INC.,615 W DEMING PL 2ND 205,CHICAGO,IL,
2239508,PETE GEORGE GADBERRY,5606 N MAJOR AVE,CHICAGO,IL,
2251668,Curry Foods LLC,171 N WELLS ST 1,CHICAGO,IL,20130926
2232482,CORY ROLLINS,10762 S PROSPECT AVE,CHICAGO,IL,
2330235,RAYMOND ZOETEMAN,2122 W 80TH ST,CHICAGO,IL,
2354797,ROCK YOUR BODY DANCE STUDIO CORP,6810 W NORTH AVE GROUND,CHICAGO,IL,
2303454,5 Seasons Development Inc,5 S RACINE AVE GROUND 1N,CHICAGO,IL,
2296623,CHINA LAMP RESTAURANT,4603 S ASHLAND AVE # 1F,CHICAGO,IL,
2343404,SPACETIME INC,35 E WACKER DR  3100,CHICAGO,IL,
2318556,RIVER BRANCH CAPITAL LLC,300 N LA SALLE ST 2,CHICAGO,IL,
2307393,BRONZEVILLE PAINTING & DECORATING INC.,3400 S PRAIRIE AVE,CHICAGO,IL,
2324594,JAMIR INC.,1720 S MICHIGAN AVE 1ST 115,CHICAGO,IL,
2324361,MS. BISCUIT LLC,5431 S WABASH AVE 1ST,CHICAGO,IL,20130822
2241648,600 S CICERO INC,600 S CICERO AVE 1ST,CHICAGO,IL,
2292604,YANIRI MIGUELINA PEREZ,3526 W NORTH AVE 1ST,CHICAGO,IL,
2319739,FIDO'S GOTTA GO INC.,2817 N KEDZIE AVE 2ND FL,CHICAGO,IL,
2336224,SAFEWAY CONSTRUCTION COMPANY,4327 W ROOSEVELT RD 1ST,CHICAGO,IL,
2358276,LIBRERIA NAZARETH INC,4035 W ARMITAGE AVE 1,CHICAGO,IL,
2342317,ADRIAN S. RUIZ,8821 S COMMERCIAL AVE 1ST,CHICAGO,IL,
2259135,LARRY'S AUTO REPAIR INC,2043 W 95TH ST,CHICAGO,IL,
2355322,LETICIA QUEZADA,3243 W 64TH PL,CHICAGO,IL,
2261411,COMBINED SERVICES HVAC,5404 W ELM  ST  M,MCHENRY,IL,
2307210,TREADS GYM LLC,477 W DEMING PL,CHICAGO,IL,
2278487,HAILEY SARAH GARCIA,3823 S UNION AVE,CHICAGO,IL,
2299683,THE BLOMMER CHOCOLATE CO,600 W KINZIE ST,CHICAGO,IL,
2304471,Chih-Chun Ko,1101 S STATE ST 11 1107,CHICAGO,IL,
2274188,TALAL BITTAR,3604 W LAWRENCE AVE,CHICAGO,IL,
2283046,VIKTORIA BROWN,11 E HUBBARD ST 7TH 700,CHICAGO,IL,
2308754,JESUS GARCIA,1835 W CERMAK RD,CHICAGO,IL,
2316202,MIDWEST GOLD STAMPERS INC,5707 N NORTHWEST HWY 1ST,CHICAGO,IL,
2283011,Allstar Wireless IL-3002 Inc.,3234 W 26TH ST FIRST,CHICAGO,IL,
2265477,RB SIGN & DESIGN INC,4543 W ADDISON ST 1ST,CHICAGO,IL,
2299408,MOLLY E. PAGE,221 E CULLERTON ST  713,CHICAGO,IL,
2303686,Pablo F Pena,3114 N LARAMIE AVE 1N 1N,CHICAGO,IL,
2292243,CENTERLINE CORPORATION,5852 W HIGGINS AVE 1ST,CHICAGO,IL,
2235874,PARENTI & RAFFAELLI LIMITED,215 E PROSPECT AVE  1ST,MOUNT PROSPECT,IL,
2367482,FIRST LOOK FOR CHARITY FOUNDATION,18W200  BUTTERFIELD RD,OAK BROOK TERRACE,IL,
2300429,CHICAGO STORY PICCOLO GUILNER INC,401 W SUPERIOR ST,CHICAGO,IL,
2270566,THOMAS FRANCIS GATTA,4  CHESNUT CORNER,LANCASTER,NY,20130207
2352628,GREEN MONKEY INC.,1325 S STATE ST 1 1,CHICAGO,IL,
2327408,WILLIAM M. WOJCIK,9628 S KENNETH AVE,OAK LAWN,IL,
2313083,Kyung Y Chon,3565 N BROADWAY  1,CHICAGO,IL,
2296937,SKYTANKING USA INC.,5401 S LARAMIE AVE,CHICAGO,IL,
2319999,FLYING WOK INC.,6319 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,
2295788,TURBO TERRY TRANSMISSION INC,6145 S OAK PARK AVE  1,CHICAGO,IL,
2352928,ARIZONA DOLLAR PLUS INC.,6551-6553 N CLARK ST 1,CHICAGO,IL,
2343160,BLOOMERS INC,200 E RANDOLPH ST  1ST,CHICAGO,IL,20130711
2295684,CAROLINE CRNKOVICH,5706 S NARRAGANSETT AVE,CHICAGO,IL,
2317977,GENTILE IMPORTS INC.,1160 W TAYLOR ST 1,CHICAGO,IL,
2353378,3246 W LAWRENCE INC.,3246 W LAWRENCE AVE,CHICAGO,IL,
2224570,HYDERABAD HOUSE FAMILY DINING LLC,2226 W DEVON AVE 1ST,CHICAGO,IL,
2264377,CUSTOM WIGS LIMITED,4065 N MILWAUKEE AVE,CHICAGO,IL,
2303185,TAQUERIA LOS PATRONCITOS CO.,6832 W ARCHER AVE,CHICAGO,IL,
2337598,PULASKI PETROLEUM INC.,415 S PULASKI RD,CHICAGO,IL,
2307433,ERIC M LIVAK,13511 S BRANDON AVE 1ST,CHICAGO,IL,
2363855,ORLANDO'S HAIR STUDIO INC.,2926 W BELMONT AVE,CHICAGO,IL,
2307625,MIGUEL LOPEZ,4715 S KILBOURN AVE,CHICAGO,IL,
2242375,AUTO 2000 INC,516 N CICERO AVE,CHICAGO,IL,
2316051,NUCRAFT FURN CO.,222 W MERCHANDISE MART PLZ   1166,CHICAGO,IL,
2292736,AHNCORE INC.,850 W JACKSON BLVD 1ST 125,CHICAGO,IL,
2322875,ONE HOPE UNITED - NORTHERN REGION,3053 S NORMAL AVE  1,CHICAGO,IL,
2337614,PORT SILVER LIMITED PARTNERSHIP,8725 W HIGGINS RD,CHICAGO,IL,
2269488,Immediate Credit Recovery Inc,169  MYERS CORNERS RD  110,WAPPINGERS FALLS,NY,
2326161,APRIL 7S INC.,766 N MILWAUKEE AVE 1ST,CHICAGO,IL,20130213
2337039,PLIANT TOOL INC.,4049 W OGDEN AVE  E,CHICAGO,IL,
2302711,KELLY LEE HAMILTON,6742 W BELMONT AVE 1,CHICAGO,IL,
2290556,MARIA R REYES,1322 W 18TH ST  1,CHICAGO,IL,
2257756,E Z 8 CORP,5045 N SHERIDAN RD  1,CHICAGO,IL,
2325126,Castle Creek Arbitrage LLC,227 W MONROE ST 35 3550,CHICAGO,IL,
2349674,KERELYS PIZZA LLC,2934 N MILWAUKEE AVE,CHICAGO,IL,
2307772,Nusrat S Mansuri,6350 N RIDGEWAY AVE 1 1S,CHICAGO,IL,
2297988,MARGARET W KENDALL,1049 W BALMORAL AVE 1ST 1,CHICAGO,IL,
2335422,NEMO INC,4126 W 26TH ST  1ST,CHICAGO,IL,
2344212,SUN TAN SPA INC,400 E RANDOLPH ST CAB #3 740,CHICAGO,IL,
2303418,EVANGELINA SIGALA,4100 S ASHLAND AVE,CHICAGO,IL,
2360867,75TH & STONY ISLAND CURRENCY,1611 E 75TH ST  1,CHICAGO,IL,20131212
2314375,EWELINA KACZOROWSKI,8455 W LAWRENCE AVE 3RD 3 A,CHICAGO,IL,
2334811,SUPERMERCADOS VILLAVICENCIO CO.,3647-3651 W DIVERSEY AVE 1ST,CHICAGO,IL,
2319528,REGINA RICE,24902  EMERALD AVE,PLAINFIELD,IL,
2320398,BRIDGEPORT BOXING CLUB LLC,3411 S HALSTED ST 1ST,CHICAGO,IL,
2316025,A NEW DAIRY COMPANY INC,1234 W RANDOLPH ST  1,CHICAGO,IL,
2334144,NGOC H TRUONG,4666 S HALSTED ST 1ST,CHICAGO,IL,
2301552,QUIKORDER INC.,351 W HUBBARD ST  501,CHICAGO,IL,
2241372,MAZE FOOD & LIQUOR INC,557 N CICERO AVE 1ST,CHICAGO,IL,
2290294,JOE MARCHEWKA,3200 S RACINE AVE,CHICAGO,IL,
2235877,HOLLOWAY LUMBER & CONST CO INC,300 W RIDGE RD,GARY,IN,
2325502,VISHNA CLARK INCORPORATED,6701-6703 N CLARK ST 1,CHICAGO,IL,
2336167,PAN YUN CHOI,3101 W 26TH ST  1,CHICAGO,IL,20130605
2353456,Cobblesquare Place Associates,1338-1350 N WELLS ST 1 - 3,CHICAGO,IL,
2322633,ILLINOIS INSTITUTE OF TECHNOLOGY,3201 S STATE ST,CHICAGO,IL,
2330026,CHESTER BORSUK,8721 S SOUTH CHICAGO AVE  1,CHICAGO,IL,
2363926,O'CONNOR'S MARKET INC,7280 W DEVON AVE,CHICAGO,IL,
2303469,DEZ DEME HOUSE OF STYLES L.L.C.,8245 S KEDZIE AVE  F,CHICAGO,IL,20130212
2360580,SOUTH SHORE PLMBNG & HTNG SUP,7256 S EXCHANGE AVE 1ST,CHICAGO,IL,
2293569,LOAN HONG VI,11213 S MICHIGAN AVE,CHICAGO,IL,20130409
2327846,SILUETA'S BOUTIQUE CORPORATION,2955 W BELMONT AVE 1ST,CHICAGO,IL,
2264056,EDDIE LEE GREER,9914 S GREEN ST,CHICAGO,IL,
2351329,FIELD MUSEUM OF NATURAL HISTORY,1400 S LAKE SHORE DR,CHICAGO,IL,
2347538,K Brothers Fence,17101 S WOLF ROAD  1,ORLAND PARK,IL,
2302293,DMEXP PERMIT CONSULTANTS L.L.C.,4639 W 19TH ST 2ND 2F,CICERO,IL,
2298143,Jordan Bernard LLC,5205 W AGATITE AVE 1,CHICAGO,IL,
2335922,EDWARD MULDROW,3726 W 16TH ST 1ST,CHICAGO,IL,
2303432,Hugo's Stone Corp.,847 N KILPATRICK AVE 1,CHICAGO,IL,
2320530,123 FAST LANE CAR WASH INC.,4267 N ELSTON AVE 1ST,CHICAGO,IL,
2222931,AVALON VAC & JANIT SUPPLY CO.,3350 N ASHLAND AVE,CHICAGO,IL,
2268376,PARAS TRADING CORP.,730 S CLARK ST 1,CHICAGO,IL,
2286647,2118 NORTH DAMEN CORPORATION,2118 N DAMEN AVE,CHICAGO,IL,
2297310,HUDSON NEWS O'HARE JOINT VENTURE,11601 W TOUHY AVE  3-H34A,CHICAGO,IL,
2323308,CLARENCE D. JOHNSON,4941 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,
2304297,RAIN FLOWER INC,1781 N CLYBOURN AVE BSMT,CHICAGO,IL,
2350223,RICARDO A. NERI MARQUEZ,6524 N WASHTENAW AVE BSMT,CHICAGO,IL,
2304777,MAXIM'S RESTAURANT INC,20 N CLARK ST,CHICAGO,IL,
2341547,MARIA DEL CARMEN GONZALEZ,4734 N KEDVALE AVE 1,CHICAGO,IL,
2343289,STELAR INC.,10 S RIVERSIDE PLZ  1040,CHICAGO,IL,
2356155,ROSE EXTERMINATOR CO INC,1809 W NORTH AVE 1ST,CHICAGO,IL,
2199064,OVERLAND BOND & INVESTMENT CORPORATION,4701 W FULLERTON AVE,CHICAGO,IL,20130702
2333408,MICAELA BUSTAMANTE,1924 N KARLOV AVE 1,CHICAGO,IL,
2266156,NATIONAL POWER LLC,4330 W BELMONT AVE,CHICAGO,IL,
2232208,MILWAUKEE AVENUE PARKING LLC,2053-2075 N MILWAUKEE AVE,CHICAGO,IL,
2356741,MARY PRITIKIN,6223 N MCCLELLAN AVE,CHICAGO,IL,
2282410,THE PORTAGE BAR AND GRILL LLC,3938 N CENTRAL AVE 1ST,CHICAGO,IL,
2240847,Clinton LA LLC,113 S CLINTON ST 2ND,CHICAGO,IL,
2282174,MARTIN TORRES,3826 N ORIOLE AVE,CHICAGO,IL,
2260092,JOSE FERNANDEZ,1825 W FARRAGUT AVE 1 1,CHICAGO,IL,
2249619,TEFE INC,6230 S WESTERN AVE,CHICAGO,IL,
2351877,SHELDON T CEASER MD SC,233 E 75TH ST,CHICAGO,IL,
2257099,CLARK-FOSTER LIQUORS INC,5201 N CLARK ST,CHICAGO,IL,
2318147,MICHAEL G. JOHNSON,3725 N WESTERN AVE 1ST,CHICAGO,IL,
2235289,W E O'NEIL CONSTRUCTION CO,2751 N CLYBOURN AVE  1,CHICAGO,IL,
